,model_tag,cumulative_infected_40_days,cumulative_rate_40_days,active_rate_before_peak,cumulative_before_peak,cumulative_rate_before_peak,days_peak,peak_active_infected_rate,cumulative_peak,cumulative_rate_peak,active_rate_after_peak,cumulative_after_peak,cumulative_rate_after_peak,model_name,Policy_Lever,Initial_Infections,Lockdown_Date,Prison_Rate,Police_Contact_Rate,Police_Group_Size
Black,I10_PI0.35_L14___pc10_pgrp17,62062.0,0.08041780532207056,0.4039453007056753,409531.0,0.5306561862549205,59,0.40740488035444056,427171.0,0.5535134916250556,0.3942760337844566,471244.0,0.6106217693789084,original,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pc10_pgrp17,39425.0,0.21601792798123917,0.5692341252574046,163518.0,0.8959497665855743,54,0.6195524193899336,147014.0,0.8055208538803779,0.42865595398380624,171667.0,0.9405998641155456,original,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pc10_pgrp17,50829.0,0.01337538386696519,0.09701714051416759,445495.0,0.11722966487268405,73,0.16026421137275382,1054321.0,0.2774390228806903,0.12463898817574479,605928.0,0.15944676455847023,original,no_policy,10,14,0.35,10,17
White_Forced_Labour,I10_PI0.35_L14___pc10_pgrp17,121713.0,0.179121412803532,0.5646748950162561,569675.0,0.838373804267844,55,0.584474079053875,518826.0,0.7635408388520971,0.45928551154009367,610362.0,0.8982516556291391,original,no_policy,10,14,0.35,10,17
Total_Residents,I10_PI0.35_L14___pc10_pgrp17,274029.0,0.050429131227106294,0.2149475278448591,1588219.0,0.29227747562624223,60,0.2178059920611646,1729003.0,0.31818573646971837,0.21499120489575604,1859201.0,0.342145872176183,original,no_policy,10,14,0.35,10,17
Total_w_Police,I10_PI0.35_L14___pc10_pgrp17,276654.0,0.050783398452289796,0.21582478958306392,1599949.0,0.2936912084059605,60,0.21855442827418786,1741186.0,0.319617075543996,0.2155817955361384,1871712.0,0.3435768009279903,original,no_policy,10,14,0.35,10,17
Black,I10_PI0.35_L14___pc10_pgrp17,61186.0,0.07928271464722711,0.40122178883805854,406042.0,0.526135260039705,59,0.4050040520678669,423728.0,0.5490521706279256,0.3930233710022545,468019.0,0.6064429252848786,no_police,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pc10_pgrp17,39090.0,0.21418239200473405,0.5701225207489271,163190.0,0.8941525850921603,54,0.6182805871239744,146494.0,0.8026716637078922,0.4311949804960514,171477.0,0.9395588138602143,no_police,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pc10_pgrp17,48267.0,0.012701207049259455,0.09137695885718847,419837.0,0.11047789719559827,73,0.15442117633748723,1006459.0,0.2648443894501548,0.11793807833551533,572702.0,0.15070351750730288,no_police,no_policy,10,14,0.35,10,17
White_Forced_Labour,I10_PI0.35_L14___pc10_pgrp17,120611.0,0.17749963208241354,0.5645688970614958,567944.0,0.8358263428991906,56,0.5832690173940529,535989.0,0.7887991169977925,0.46101426986803024,609172.0,0.8965003679175865,no_police,no_policy,10,14,0.35,10,17
Total_Residents,I10_PI0.35_L14___pc10_pgrp17,269154.0,0.04953199254933079,0.2106328882366681,1557014.0,0.2865348679462454,60,0.21332366258442673,1694431.0,0.3118235050096046,0.21042851727104953,1821370.0,0.33518389200819837,no_police,no_policy,10,14,0.35,10,17
Total_w_Police,I10_PI0.35_L14___pc10_pgrp17,271756.0,0.04988430758203556,0.21152101864727121,1568710.0,0.28795688833738725,60,0.21408575792246692,1706585.0,0.3132656171524756,0.21103491304101732,1833856.0,0.3366278454391491,no_police,no_policy,10,14,0.35,10,17
Black,I10_PI0.35_L14___pc10_pgrp17,61529.0,0.0797271622516464,0.4033058395130979,408268.0,0.5290196342887935,59,0.4069222315707945,425947.0,0.5519274745177402,0.3942692973787021,470153.0,0.6092080890977963,no_prison,no_policy,10,14,0.35,10,17
